episode,reward,agent_loss
1.0,3.0,140.15460205078125
2.0,1.0,-13.854496955871582
3.0,5.0,245.88125610351562
4.0,8.0,208.31015014648438
5.0,5.0,131.98046875
6.0,-3.0,-155.6124267578125
7.0,3.0,112.67747497558594
8.0,-1.0,-24.001415252685547
9.0,-1.0,-81.42483520507812
10.0,-5.0,-224.24427795410156
11.0,1.0,37.24370574951172
12.0,5.0,194.3823699951172
13.0,1.0,71.31332397460938
14.0,1.0,3.7211203575134277
15.0,-5.0,-63.13636016845703
16.0,-3.0,-154.46820068359375
17.0,6.0,238.4603271484375
18.0,3.0,68.30230712890625
19.0,-1.0,-2.4441933631896973
20.0,-3.0,-85.9018325805664
21.0,-1.0,85.4242935180664
22.0,-1.0,-51.33030319213867
23.0,5.0,116.18409729003906
24.0,2.0,190.23370361328125
25.0,3.0,150.79165649414062
26.0,-3.0,-110.9402847290039
27.0,-1.0,-7.487851142883301
28.0,7.0,169.13638305664062
29.0,-3.0,-119.14237213134766
30.0,5.0,173.20001220703125
31.0,3.0,56.35032653808594
32.0,5.0,129.42501831054688
33.0,1.0,11.611504554748535
34.0,4.0,141.5242462158203
35.0,1.0,73.68562316894531
36.0,3.0,76.3591079711914
37.0,3.0,114.21357727050781
38.0,0.0,19.181669235229492
39.0,1.0,26.964387893676758
40.0,9.0,181.86146545410156
41.0,5.0,108.2353286743164
42.0,1.0,-37.758544921875
43.0,-1.0,-13.486660957336426
44.0,7.0,156.07977294921875
45.0,1.0,3.679934501647949
46.0,1.0,-12.50438404083252
47.0,1.0,-0.6906933784484863
48.0,5.0,112.31175231933594
49.0,5.0,137.25718688964844
50.0,7.0,140.00148010253906
51.0,1.0,19.17902374267578
52.0,-1.0,-20.819717407226562
53.0,10.0,258.8412780761719
54.0,9.0,205.30117797851562
55.0,3.0,111.0758056640625
56.0,3.0,125.7918472290039
57.0,7.0,141.75344848632812
58.0,5.0,142.8448944091797
59.0,-1.0,-62.233978271484375
60.0,9.0,196.6674346923828
61.0,4.0,164.32052612304688
62.0,9.0,210.70010375976562
63.0,7.0,118.09233093261719
64.0,7.0,152.8795166015625
65.0,9.0,184.52716064453125
66.0,9.0,238.59902954101562
67.0,5.0,118.2453384399414
68.0,3.0,145.38153076171875
69.0,1.0,-6.873639106750488
70.0,3.0,85.25386047363281
71.0,5.0,95.2552719116211
72.0,9.0,158.0133056640625
73.0,7.0,237.02883911132812
74.0,7.0,134.17576599121094
75.0,2.0,52.224571228027344
76.0,5.0,86.66240692138672
77.0,1.0,48.489139556884766
78.0,1.0,27.54120445251465
79.0,5.0,81.34950256347656
80.0,7.0,106.41581726074219
81.0,12.0,246.27584838867188
82.0,9.0,164.60955810546875
83.0,5.0,95.85488891601562
84.0,5.0,96.84205627441406
85.0,7.0,144.0867462158203
86.0,3.0,46.06524658203125
87.0,9.0,228.6595001220703
88.0,1.0,-10.657286643981934
89.0,6.0,193.81298828125
90.0,1.0,64.74718475341797
91.0,5.0,111.59306335449219
92.0,10.0,283.3839416503906
93.0,3.0,58.86005401611328
94.0,11.0,183.51795959472656
95.0,11.0,201.7342071533203
96.0,5.0,116.4111099243164
97.0,7.0,123.28839111328125
98.0,6.0,167.77001953125
99.0,6.0,98.72048950195312
100.0,10.0,211.61553955078125
101.0,1.0,-1.9392623901367188
102.0,5.0,73.57289123535156
103.0,9.0,165.1480712890625
104.0,7.0,151.96994018554688
105.0,5.0,132.85040283203125
106.0,10.0,184.5613250732422
107.0,9.0,199.54782104492188
108.0,12.0,247.45721435546875
109.0,6.0,231.1167449951172
110.0,9.0,153.53138732910156
111.0,1.0,47.591087341308594
112.0,5.0,203.40725708007812
113.0,10.0,163.66017150878906
114.0,3.0,92.11328887939453
115.0,4.0,105.70542907714844
116.0,3.0,-19.497819900512695
117.0,6.0,142.44798278808594
118.0,3.0,102.2193374633789
119.0,7.0,154.46054077148438
120.0,3.0,91.39484405517578
121.0,5.0,82.27813720703125
122.0,10.0,143.9325714111328
123.0,9.0,144.92640686035156
124.0,5.0,131.4340057373047
125.0,11.0,149.23434448242188
126.0,9.0,157.68592834472656
127.0,5.0,56.38762664794922
128.0,8.0,129.63284301757812
129.0,12.0,143.95770263671875
130.0,8.0,125.4903335571289
131.0,7.0,164.45787048339844
132.0,9.0,125.84208679199219
133.0,5.0,63.077117919921875
134.0,12.0,194.7509765625
